_isName,_gender,_animate,_frequency,_length,_mainword,_dependentverbs,_dependenceofverb,_dependentnoun,_dependentadjective,_dependenceofadjective,_word,class
0,1,0,0,6,0,0,0,0,0,0,абажур,'something'
0,0,0,1,4,0,0,0,0,0,0,буря,'something'
0,1,1,0,5,0,0,0,0,0,0,живой,'person'
0,0,0,1,8,1,0,0,1,0,0,средство,'something'
0,1,0,1,4,1,0,0,1,0,0,балл,'object'
0,-1,0,0,8,0,0,0,0,0,0,гимназия,'something'
0,1,0,0,5,0,0,0,0,0,0,домик,'something'
0,-1,1,1,11,1,0,0,0,0,0,счастливица,'person'
0,1,0,0,3,0,0,0,0,0,0,суп,'something'
0,-1,0,0,5,0,0,0,0,0,0,земля,'something'
0,0,0,7,1,5,0,0,5,0,0,я,'person'
0,0,0,0,9,0,0,0,0,0,0,утомление,'something'
0,0,0,6,2,5,0,0,6,0,0,уж,'something'
0,1,0,0,3,5,0,0,4,0,0,пот,'something'
0,1,0,2,3,2,0,0,2,0,0,мир,'something'
0,1,0,0,5,0,0,0,0,0,0,испуг,'object'
0,0,0,5,5,0,0,0,0,0,0,время,'something'
0,1,0,1,5,1,0,0,0,0,0,конец,'something'
0,1,0,2,4,1,0,0,1,0,0,обед,'something'
0,1,0,0,4,0,0,0,0,0,0,нерв,'something'
0,1,0,2,7,0,0,0,0,0,0,голосок,'object'
0,1,0,0,3,0,0,0,0,0,0,чай,'something'
0,1,0,0,5,0,0,0,0,0,0,город,'something'
0,1,0,0,5,0,0,0,0,0,0,склеп,'something'
1,1,1,0,8,1,0,0,0,0,0,анненков,'person'
1,1,1,0,6,0,0,0,0,0,0,корнел,'person'
0,-1,0,0,5,0,0,0,0,0,0,тоска,'something'
0,1,1,0,8,1,0,0,0,0,0,цыплёнок,'object'
0,1,0,1,3,0,0,0,0,0,0,час,'something'
0,1,1,0,4,0,0,0,0,0,0,отец,'person'
0,-1,0,0,6,0,0,0,0,0,0,соната,'object'
0,-1,0,0,7,0,0,0,0,0,0,головка,'something'
1,1,1,1,7,0,0,0,0,0,0,толстой,'person'
0,1,0,1,3,0,0,0,0,0,0,зал,'something'
0,0,0,0,9,0,0,0,0,0,0,окончание,'something'
0,0,0,0,8,0,0,0,0,0,0,спальнее,'something'
0,1,0,1,5,2,0,0,1,0,0,порыв,'something'
1,-1,1,2,4,1,0,0,1,0,0,инна,'person'
0,-1,0,0,8,0,0,0,0,0,0,колыбель,'something'
0,-1,1,2,7,3,0,0,1,0,0,подруга,'person'
0,1,0,2,5,0,0,0,0,0,0,пирог,'something'
0,-1,1,4,7,3,0,0,2,0,0,девочка,'person'
0,-1,1,1,8,1,0,0,1,0,0,брюнетка,'person'
0,1,0,0,5,1,0,0,1,0,0,цвет,'something'
0,1,0,0,7,0,0,0,0,0,0,оттенок,'something'
0,1,1,0,6,0,0,0,0,0,0,купец,'person'
0,1,1,2,7,2,0,0,0,0,0,молодец,'person'
0,-1,0,0,4,0,0,0,0,0,0,мера,'something'
0,1,0,0,4,0,0,0,0,0,0,куст,'something'
0,1,0,0,3,0,0,0,0,0,0,жар,'something'
0,-1,0,0,5,0,0,0,0,0,0,плита,'something'
1,0,1,3,5,2,0,0,1,0,0,руссо,'person'
0,1,0,1,5,0,0,0,0,0,0,класс,'something'
0,-1,0,0,6,2,0,0,0,0,0,минута,'something'
0,-1,0,0,6,1,0,0,0,0,0,лекция,'something'
0,1,0,0,3,0,0,0,0,0,0,мор,'something'
0,1,0,0,4,0,0,0,0,0,0,труд,'something'
0,-1,0,0,7,0,0,0,0,0,0,заметка,'something'
0,0,0,0,9,1,0,0,0,0,0,огорчение,'something'
0,1,1,2,6,3,0,0,2,0,0,старик,'person'
0,-1,0,0,12,0,0,0,0,0,0,прозрачность,'something'
0,1,0,1,4,0,0,0,0,0,0,курс,'something'
0,0,0,0,10,0,0,0,0,0,0,многоточие,'something'
0,1,1,18,7,16,0,0,8,0,0,папочка,'person'
0,-1,0,1,5,0,0,0,0,0,0,среда,'something'
0,1,0,1,5,0,0,0,0,0,0,шорох,'something'
0,0,0,0,9,0,0,0,0,0,0,испытание,'something'
1,1,1,1,5,1,0,0,0,0,0,артур,'person'
0,-1,1,5,7,3,0,0,3,0,0,девушка,'person'
0,1,0,0,7,0,0,0,0,0,0,помидор,'something'
0,-1,1,0,8,0,0,0,0,0,0,прислуга,'person'
0,-1,1,3,4,3,0,0,3,0,0,дочь,'person'
1,-1,1,1,5,1,0,0,1,0,0,адель,'person'
1,1,1,6,5,5,0,0,5,0,0,павел,'person'
0,-1,1,0,15,0,0,0,0,0,0,прорицательница,'person'
0,-1,1,0,7,0,0,0,0,0,0,казачка,'person'
0,1,1,0,6,0,0,0,0,0,0,гигант,'person'
0,-1,1,1,4,0,0,0,0,0,0,дева,'person'
0,-1,0,0,6,0,0,0,0,0,0,любовь,'object'
0,-1,1,1,7,1,0,0,0,0,0,деточка,'person'
0,1,0,7,5,4,0,0,3,0,0,билет,'object'
0,-1,0,0,9,0,0,0,0,0,0,программа,'object'
0,0,0,1,9,0,0,0,0,0,0,сочинение,'object'
0,-1,1,1,9,0,0,0,0,0,0,красавица,'person'
0,0,0,0,6,1,0,0,0,0,0,ребята,'person'
0,-1,0,7,4,3,0,0,0,0,0,ночь,'object'
0,1,0,0,7,0,0,0,0,0,0,кабинет,'object'
1,-1,1,1,4,0,0,0,0,0,0,сара,'person'
0,1,0,0,4,1,0,0,1,0,0,лист,'object'
0,1,0,0,6,3,0,0,2,0,0,вопрос,'object'
0,-1,0,0,7,0,0,0,0,0,0,отметка,'object'
1,1,1,6,8,0,0,0,0,0,0,петрович,'person'
0,1,0,0,4,0,0,0,0,0,0,жар,'object'
0,-1,0,0,8,0,0,0,0,0,0,комнатка,'object'
0,1,1,1,6,1,0,0,0,0,0,дружок,'person'
0,1,0,0,5,0,0,0,0,0,0,ответ,'object'
0,1,1,0,6,1,0,0,1,0,0,ученик,'person'
0,-1,1,1,7,1,0,0,1,0,0,русалка,'person'
0,1,1,0,13,2,0,0,0,0,0,преподаватель,'person'
0,1,0,0,8,1,0,0,0,0,0,лепесток,'object'
0,-1,0,0,6,0,0,0,0,0,0,одесса,'object'
0,1,1,5,7,3,0,0,3,0,0,учитель,'person'
0,1,0,1,3,0,0,0,0,0,0,сад,'object'
